State,Total Housing Units,Voting Age Citizens,Age < 20,Age 20-65,Eldery,latitude,longitude
Alabama,2244462,3671110,1230306,2850542,783832,32.377716,-86.300568
Alaska,315386,530385,204040,456048,78428,58.301598,-134.420212
Arizona,2970935,4812764,1824398,3963967,1158320,33.448143,-112.096962
Arkansas,1362040,2195870,786958,1716177,487536,34.746613,-92.288986
California,14084824,25232634,10120245,23713058,5315457,38.576668,-121.493629
Colorado,2352202,3979325,1404562,3385941,740638,39.739227,-104.984856
Connecticut,1512305,2600979,857306,2136618,587580,41.764046,-72.682198
Delaware,428251,704108,228494,553872,167129,39.157307,-75.519722
District of Columbia,311545,511190,143400,459386,81712,21.307442,-157.857376
Florida,9348689,14724113,4627244,11906519,4064376,30.438118,-84.281296
Georgia,4241003,7254693,2792291,6152904,1352289,33.749027,-84.388229
Hawaii,539053,1016556,336843,839231,245955,43.617775,-116.199722
Idaho,711731,1192742,485158,948850,253801,39.798363,-89.654961
Illinois,5347268,9055187,3263837,7662757,1894903,39.768623,-86.162643
Indiana,2870670,4876218,1759907,3881456,996063,41.591087,-93.603729
Iowa,1386722,2312666,822354,1796833,513312,39.048191,-95.677956
Kansas,1266378,2077566,796939,1674060,437777,38.186722,-84.875374
Kentucky,1974406,3338198,1129569,2619126,691509,30.457069,-91.187393
Louisiana,2045554,3452767,1226349,2760560,676707,44.307167,-69.781693
Maine,739077,1059542,287563,786074,259176,38.978764,-76.490936
Maryland,2437740,4262388,1499230,3628868,875337,42.358162,-71.063698
Massachusetts,2882739,4964686,1588909,4163060,1078224,42.733635,-84.555328
Michigan,4580939,7472668,2468124,5868420,1620944,44.955097,-93.102211
Minnesota,2420473,4037295,1433662,3263584,830112,32.303848,-90.182106
Mississippi,1316108,2228659,809389,1729895,449478,38.579201,-92.172935
Missouri,2775635,4585994,1543969,3564401,981692,46.585709,-112.018417
Montana,505685,804263,254030,603879,183823,40.808075,-96.699654
Nebraska,830749,1358786,525411,1093269,286080,39.163914,-119.766121
Nevada,1235096,1973652,739121,1745677,438051,43.206898,-71.537994
New Hampshire,630955,1048201,301343,814295,227984,40.220596,-74.769913
New Jersey,3605401,6117615,2189857,5315125,1376863,35.68224,-105.939728
New Mexico,932818,1485490,550298,1200621,341515,35.78043,-78.639099
New York,8287087,13686685,4656061,11893703,3068689,46.82085,-100.783318
North Carolina,4573066,7413181,2573530,6011096,1570998,42.652843,-73.757874
North Dakota,367684,562632,195397,446894,109910,39.961346,-82.999069
Ohio,5188270,8797915,2929364,6819654,1892861,35.492207,-97.503342
Oklahoma,1723230,2819168,1063985,2264922,589230,44.938461,-123.030403
Oregon,1750539,3002261,966207,2433190,682546,40.264378,-76.883598
Pennsylvania,5673599,9748290,3027573,7533747,2229861,41.830914,-71.414963
Rhode Island,467412,789062,244443,637958,174210,34.000343,-81.033211
South Carolina,2256951,3731348,1233413,2893429,829083,44.367031,-100.346405
South Dakota,387637,635405,236469,491012,136808,36.16581,-86.784241
Tennessee,2930530,4964909,1668647,3937229,1045213,30.27467,-97.740349
Texas,10769900,17859496,8071626,16475755,3337814,40.777477,-111.888237
Utah,1066131,1982911,1008981,1716100,320269,44.262436,-72.580536
Vermont,333013,494674,139372,372055,113550,37.538857,-77.43364
Virginia,3491091,6096244,2099921,5083607,1230246,47.035805,-122.905014
Washington,3064381,5173974,1807233,4413604,1073499,38.336246,-81.612328
West Virginia,890715,1442035,418768,1065567,344719,43.074684,-89.384445
Wisconsin,2681232,4347413,1445269,3408430,924695,41.140259,-104.820236
Wyoming,274985,432284,152624,341435,87777,latitude,longitude
Puerto Rico,1563159,2653585,781705,1964613,640623,32.377716,-86.300568